name,isin,type,dtcreated
Elanix Biotechnologies AG,DE000A0WMJQ4,0,2016-01-04 17:00:05
DF Deutsche Forfait AG,DE000A2AA204,0,2016-01-05 10:15:26
DF Deutsche Forfait AG,DE000A2AA204,0,2016-01-05 10:15:26
nebag ag,CH0005059438,0,2016-01-06 06:00:07
Accu Holding AG,CH0001366332,0,2016-01-06 06:58:08
Accu Holding AG,CH0001366332,0,2016-01-06 06:58:08
Kuros Biosciences AG,CH0011025217,0,2016-01-06 12:05:48
Kuros Biosciences AG,CH0011025217,0,2016-01-06 12:05:48
Jungfraubahn Holding AG,CH0017875789,0,2016-01-07 07:00:09
Jungfraubahn Holding AG,CH0017875789,0,2016-01-07 07:00:09
LifeWatch AG,CH0012815459,0,2016-01-07 07:00:13
LifeWatch AG,CH0012815459,0,2016-01-07 07:00:13
Airopack Technology Group AG,CH0242606942,0,2016-01-07 07:25:07
Deutsche EuroShop AG,DE0007480204,0,2016-01-07 09:32:15
Deutsche EuroShop AG,DE0007480204,0,2016-01-07 09:32:15
Basler AG,DE0005102008,0,2016-01-07 11:51:15
Basler AG,DE0005102008,0,2016-01-07 11:51:15
Wild Bunch AG,DE000A2TSU21,0,2016-01-07 12:06:01
Wild Bunch AG,DE000A2TSU21,0,2016-01-07 12:06:01
Asian Bamboo AG,DE000A0M6M79,0,2016-01-07 12:43:30
Asian Bamboo AG,DE000A0M6M79,0,2016-01-07 12:43:30
comdirect bank AG,DE0005428007,0,2016-01-07 13:35:26
comdirect bank AG,DE0005428007,0,2016-01-07 13:35:26
Nordex SE,DE000A0D6554,0,2016-01-07 18:53:25
Nordex SE,DE000A0D6554,0,2016-01-07 18:53:25
Kuros Biosciences AG,CH0011025217,0,2016-01-08 07:00:09
Kuros Biosciences AG,CH0011025217,0,2016-01-08 07:00:09
Epigenomics AG,DE000A11QW50,0,2016-01-08 07:55:50
Epigenomics AG,DE000A11QW50,0,2016-01-08 07:55:50
Klassik Radio AG,DE0007857476,0,2016-01-08 11:35:56
Bijou Brigitte modische Accessoires AG,DE0005229504,0,2016-01-08 12:44:20
ADO Properties S.A.,LU1250154413,0,2016-01-10 08:37:26
ADO Properties S.A.,LU1250154413,0,2016-01-10 08:37:26
Qiagen N.V.,NL0012169213,0,2016-01-10 18:36:15
Qiagen N.V.,NL0012169213,0,2016-01-10 18:36:15
LifeWatch AG,CH0012815459,0,2016-01-11 07:00:13
LifeWatch AG,CH0012815459,0,2016-01-11 07:00:13
DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2016-01-11 07:30:06
DIALOG SEMICONDUCTOR Plc.,GB0059822006,0,2016-01-11 07:30:06
Evonik Industries AG,DE000EVNK013,0,2016-01-11 08:35:26
Evonik Industries AG,DE000EVNK013,0,2016-01-11 08:35:26
HOCHTIEF Aktiengesellschaft,DE0006070006,0,2016-01-11 08:45:07
HOCHTIEF Aktiengesellschaft,DE0006070006,0,2016-01-11 08:45:07
Francotyp-Postalia Holding AG,DE000FPH9000,0,2016-01-11 19:31:31
Francotyp-Postalia Holding AG,DE000FPH9000,0,2016-01-11 19:31:31
MARNA Beteiligungen AG,DE000A0H1GY2,0,2016-01-11 20:25:56
