,Unnamed: 0,name,isin,type,dtcreated,language,headline,label,id
0,0,Affitech A/S,DK0015966592,0,2010-01-04,1,affitech secures bridge loan to refinancing,1.0,DK00159665922010-01-04
1,1,7C Solarparken AG,DE000A11QW68,0,2010-01-04,1,colexon energy ag: management and supervisory board changes,0.0,DE000A11QW682010-01-04
2,2,Aktieselskabet Schouw & Co.,DK0010253921,0,2010-01-04,1,transfer of vestas shares to wholly-owned subsidiary,1.0,DK00102539212010-01-04
3,3,Tamfelt Oyj Abp,FI0009000939,0,2010-01-04,1,notification of redemption right and obligation,1.0,FI00090009392010-01-04
4,4,Teleste,FI0009007728,0,2010-01-04,1,teleste's annual summary of stock exchange releases in 2009,1.0,FI00090077282010-01-04
6,6,Liepajas metalurgs,LV0000100535,0,2010-01-04,1,about jsc “liepājas metalurgs” financing,1.0,LV00001005352010-01-04
7,7,Latvijas kugnieciba,LV0000101103,0,2010-01-04,1,ruling on shareholder meeting received,1.0,LV00001011032010-01-04
8,8,Abwicklungsgesellschaft Biogas I AG,DE000SBGS111,0,2010-01-04,1,insolvency proceedings on the assets of schmack biogas have opened,0.0,DE000SBGS1112010-01-04
9,9,Bloxolid AG,CH0012192198,0,2010-01-04,1,novavisions ag invests in e-commerce platform for pet supplies: petshop.de gmbh,1.0,CH00121921982010-01-04
10,10,Lemminkäinen,FI0009900336,0,2010-01-05,1,lemminkäinen's annual summary 2009 published,0.0,FI00099003362010-01-05
11,11,Greentech Energy Systems A/S,DK0010240514,0,2010-01-05,1,ekstraordinary  shareholders meeting in greentech energy systems a/s,1.0,DK00102405142010-01-05
12,12,SRV Yhtiöt Oyj,FI0009015309,0,2010-01-05,1,transactions concerning the shares of srv group plc owned by eero heliövaara,1.0,FI00090153092010-01-05
13,13,Danisco A/S,DK0010207497,0,2010-01-05,1,"danisco a/s, insiders' dealing",0.0,DK00102074972010-01-05
14,14,A.P. MÃ¸ller - MÃ¦rsk A/S,DK0010244508,0,2010-01-05,1,announcement of managerial staffs etc. trading in accordance with the danish securities trading act section 28(a).,0.0,DK00102445082010-01-05
15,15,Latvijas balzams,LV0000100808,0,2010-01-05,1,"sia 'spv distributor', the subsidiary of spi group, acquires a number of alcohol industry companies",0.0,LV00001008082010-01-05
16,16,Abwicklungsgesellschaft Biogas I AG,DE000SBGS111,0,2010-01-05,1,schmack biogas ag: insolvency administrator accepts binding purchase offer of the viessmann group,1.0,DE000SBGS1112010-01-05
17,17,Panostaja Oyj,FI0009800361,0,2010-01-05,1,panostaja group's complete financial statements 2009 published,1.0,FI00098003612010-01-05
18,18,Cimber Sterling Group,DK0060196848,0,2010-01-05,1,announcement no 22/2009 - information on stabilisation activities,0.0,DK00601968482010-01-05
